filename,score,experience,education,skills,languages,companies,industry
Ux-designer-resume-example-5.pdf,62.5,0.35,0.2,0,0,0.025,0.05
Stockholm-Resume-Template-Simple.pdf,20,0,0.05,0,0.075,0.025,0.05
